,Insertion Sort,Selection Sort,Bubble Sort,Quick Sort,Shell Sort,Heap Sort
Random,2976.380484,5525.115348,9657.706379,0.218131,0.60499,0.672683
Sorted,0.015456,5515.914164,5661.997902,0.160841,0.28219,0.58587
Sorted & Reversed,5947.033617,5518.839752,10996.370742,0.166107,0.3427,0.631147
