,Insertion Sort,Selection Sort,Bubble Sort,Quick Sort,Shell Sort,Heap Sort
Random,7.412865,13.778163,24.200366,0.009314,0.022062,0.025673
Sorted,0.000832,13.822811,14.103655,0.006157,0.011014,0.023073
Sorted & Reversed,14.939171,13.72584,27.354189,0.006405,0.01354,0.024193
