,Insertion Sort,Selection Sort,Bubble Sort,Quick Sort,Shell Sort,Heap Sort
Random,0.290986,0.552656,0.956154,0.001596,0.003833,0.004391
Sorted,0.000152,0.551008,0.562245,0.000988,0.001866,0.004021
Sorted & Reversed,0.594569,0.555538,1.115367,0.001036,0.002385,0.004032
