,Insertion Sort,Selection Sort,Bubble Sort,Quick Sort,Shell Sort,Heap Sort
Random,1666.851713,3119.340846,5468.798817,0.160993,0.412288,0.491538
Sorted,0.011733,3100.946863,3171.00508,0.114212,0.211132,0.437384
Sorted & Reversed,3332.48539,3121.531049,6186.422715,0.118166,0.248279,0.461989
