,Insertion Sort,Selection Sort,Bubble Sort,Quick Sort,Shell Sort,Heap Sort
Random,16.620587,30.873357,54.155427,0.013876,0.034,0.040003
Sorted,0.001171,31.228759,31.535434,0.009236,0.017702,0.035925
Sorted & Reversed,33.259822,30.893192,61.523747,0.009626,0.021388,0.037498
