,Insertion Sort,Selection Sort,Bubble Sort,Quick Sort,Shell Sort,Heap Sort
Random,741.290369,1374.844823,2405.523295,0.104418,0.293945,0.316007
Sorted,0.007836,1373.057638,1401.053959,0.075521,0.136131,0.281221
Sorted & Reversed,1480.721624,1373.601651,2732.855011,0.078311,0.158112,0.297207
