,Insertion Sort,Selection Sort,Bubble Sort,Quick Sort,Shell Sort,Heap Sort
Random,29.548876,54.905409,96.531854,0.018802,0.047725,0.054803
Sorted,0.001656,54.856864,56.061421,0.0127,0.023525,0.049545
Sorted & Reversed,59.136263,55.044859,109.708134,0.013188,0.028634,0.051403
