,Insertion Sort,Selection Sort,Bubble Sort,Quick Sort,Shell Sort,Heap Sort
Random,1.85883,3.443387,6.04322,0.004778,0.010369,0.012017
Sorted,0.000383,3.452348,3.526903,0.002752,0.005118,0.010891
Sorted & Reversed,3.712185,3.461726,6.982968,0.002871,0.006327,0.011145
